노선명,정류장 일련번호,정류장 ID,정류장 이름,승차자,하차자,탑승자,승차/버스,하차/버스,탑승/버스,/하루,/버스운행,/버스정류장
145,1,73053,한성운수종점,491,21,470,0.1436,0.0061,0.1374,24036.6,632.5,245.3
145,2,7939,북부수도사업소,25965,345,26090,7.5921,0.1009,7.6287,,,
145,3,8003169,강북보건소,6418,698,31810,1.8766,0.2041,9.3012,,,
145,4,8042,번동주공4단지앞,2592,406,33996,0.7579,0.1187,9.9404,,,
145,5,8107,번동주공3단지,8722,482,42236,2.5503,0.1409,12.3497,,,
145,6,8247,번동주공1단지,4649,1690,45195,1.3594,0.4942,13.2149,,,
145,7,8002329,월계2교.참누리아파트,6886,3752,48329,2.0135,1.0971,14.1313,,,
145,8,8389,광운초교,7261,4131,51459,2.1231,1.2079,15.0465,,,
145,9,10870,장위3동주민센터,6665,4102,54022,1.9488,1.1994,15.7959,,,
145,10,10925,장삼주유소,2523,2028,54517,0.7377,0.593,15.9406,,,
145,11,10976,장위사거리,4878,2646,56749,1.4263,0.7737,16.5933,,,
145,12,11042,석관고등학교,4273,2719,58303,1.2494,0.795,17.0477,,,
145,13,11078,석관동코오롱아파트앞,5425,2098,61630,1.5863,0.6135,18.0205,,,
145,14,8001369,한천로쌍용아파트앞,10476,3751,68355,3.0632,1.0968,19.9868,,,
145,15,11135,이문동삼익아파트,5739,2666,71428,1.6781,0.7795,20.8854,,,
145,16,73182,동일스위트리버.휘봉고교,4080,4960,70548,1.193,1.4503,20.6281,,,
145,17,11105,서울보호관찰소.동성빌라,3550,3950,70148,1.038,1.155,20.5111,,,
145,18,11137,휘경여중고,11813,5603,76358,3.4541,1.6383,22.3269,,,
145,19,73185,배봉산입구,4011,5138,75231,1.1728,1.5023,21.9974,,,
145,20,74668,전곡시장,13365,6727,81869,3.9079,1.967,23.9383,,,
145,21,74669,답십리촬영소,14977,4880,91966,4.3792,1.4269,26.8906,,,
145,22,8501506,동답초교.대림아파트앞,7649,4648,94967,2.2365,1.3591,27.7681,,,
145,23,8002188,동답한신.동아아파트,19317,5158,109126,5.6482,1.5082,31.9082,,,
145,24,8002189,동아.위더스빌아파트,13163,6013,116276,3.8488,1.7582,33.9988,,,
145,25,13691,고미술상가,4103,19728,100651,1.1997,5.7684,29.4301,,,
145,26,72148,답십리역.동부시장,9993,38042,72602,2.9219,11.1234,21.2287,,,
145,27,8220,신답역,6502,5066,74038,1.9012,1.4813,21.6485,,,
145,28,72149,동대문구청앞,1696,6865,68869,0.4959,2.0073,20.1371,,,
145,29,72150,마장축산물시장,8461,4857,72473,2.474,1.4202,21.1909,,,
145,30,72151,도선사거리,3073,6743,68803,0.8985,1.9716,20.1178,,,
145,31,8001322,성동구청,6094,7687,67210,1.7819,2.2477,19.652,,,
